Timestamp,Publisher,Publication,Series,Volume,Book,Page,Note,URL,Surname,Forename,trimmed forename,Middle Name/Initial,Alternate Name,Suffix,3 part fullname,2 part fullname,fullname,SNAC ID,Sex,Race Description,Birth Date,Death Date,State/Country of Birth,State/Country of Death,Biography,Citation
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008225,Nelson,William,William,,Bull,,William  Nelson,William Nelson,William Nelson,39879684,M,W,1824-09-27,1862-09-29,KY,KY,"U.S. Navy and U.S. Army soldier. Mason County, Kentucky, native. Attended Norwich Academy in Vermont from 1837 to 1839. Enlisted in the U.S. Navy as a midshipman in 1840. Veteran of the Mexican-American War. Promoted to lieutenant by 1855. Ordered to recruit in Kentucky by President Abraham Lincoln in 1861, where he established Camp Dick Robinson in Garrard County, Kentucky, as a recruiting center. Promoted to brigadier general on September 16, 1861. Served in the 4th Division of the Army of the Ohio under General Don Carlos Buell. Promoted to major general on July 19, 1862. Commanded the Army of Kentucky. Wounded at the Battle of Richmond in Richmond, Kentucky. Shot by General Jefferson C. Davis at the Galt House in Louisville, Kentucky. Died on September 29, 1862.","Ezra J. Warner, Generals in Blue: Lives of the Union Commanders (Baton Rouge: Louisiana State University Press, 1988), 343-34"
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008204,Miller,Silas,Silas,F.,,,Silas F. Miller,Silas Miller,Silas F. Miller,34473020,M,W,1822-01-20,1902-02-02,KY,,"Louisville, Kentucky, steamboat operator and hotel keeper. Louisville native. Married toMargaret T. Miller. Father of Margaret T. Miller, Lilian Miller, Mary Miller, and Tendia Miller. Operated steamboats on the Ohio River and Mississippi River between Louisville and New Orleans, Louisiana. Owned the Robert J. Ward in Louisville in partnership with Phillip King and George King. Owned and operated the Galt House hotel in Louisville.","Eighth Manuscript Census of the United States (1860), Population Schedules, Kentucky, Jefferson County, 3rd Ward Louisville, p. 87; ""End Comes. Capt. Silas Miller Dies After Three Weeks' Illness,"" Louisville Courier-Journal, February 3, 1902, p. 1."
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00005052,Owens,Aaron,Aaron,,,,Aaron  Owens,Aaron Owens,Aaron Owens,,M,M,c1800,,KY,,"Fleming County, Kentucky, painter. Kentucky native. Married to Catharine Owens. Father of William Owens, Susan Owens, Louisa Owens, and Aaron Owens.","Eighth Manuscript Census of the United States (1860), Population Schedules, Kentucky, Fleming County, District 2, p. 8."
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00004815,Allen,Nancy,Nancy,,,,Nancy  Allen,Nancy Allen,Nancy Allen,,F,M,,,,,"Louisville, Kentucky, resident. Married. Free woman of color in Louisville in 1863.",KYR-0001-004-0024. 
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00002900,Oldham,Nathaniel,Nathaniel,,,,Nathaniel  Oldham,Nathaniel Oldham,Nathaniel Oldham,,M,M,c1840,,KY,,"Mason County, Kentucky, barber. Kentucky native. Barber in Mason County in 1860.","Eighth Manuscript Census of the United States (1860), Population Schedules, Kentucky, Mason County, Maysville, p. 79. "
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00007016,,Tamar,Tamar,,,,,,Tamar,,F,M,c1829,,,,"Former enslaved person in Louisville, Kentucky. Escaped with Calvin Fairbank to Indiana in 1851.","J. Blaine Hudson, Fugitive Slaves and the Underground Railroad in Kentucky (Jefferson, NC: McFarland and Co, 2011), p. 134-135. Rev. Calvin Fairbank During Slavery Times: How He “Fought the Good Fight” to Prepare “The Way”; Edited from His Manuscript (Chicago, IL: R. R. McCabe & Co., 1890), p. 85-92."
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00000205,Speed,James,James,,,,James  Speed,James Speed,James Speed,69916027,M,W,1812-03-11,1887-06-25,KY,,"Attorney General of the United States. Louisville, Kentucky, native. Married to Jane L. Cochran on April 23, 1840. Father of John Speed, Henry Pirtle Speed, Charles Speed, Breckinridge Speed, James Speed, Jr., Joshua Fry Speed, Jr., and Edward Shippen Speed. Graduated from St. Joseph's College in Bardstown in 1828. Studied law under Worden Pope in Louisville before graduating from law school at Transylvania University in Lexington in 1833. Member of the House of Representatives of the Commonwealth of Kentucky from Louisville from 1847 to 1848. Member of the Whig Party. Unsuccessful emancipationist candidate for the 1849 Kentucky Constitutional Convention. Served on the City Council and on the Board of Aldermen of the City of Louisville. Member of the Board of Trustees of the University of Louisville law department in 1848. Lecturer in the University of Louisville law department from 1856 to 1858. Appointed the mustering officer for Kentucky Union volunteers in 1861 and commanded the local home guard. Elected to represent Louisville in the Senate of the Commonwealth of Kentucky in 1861 and served until 1863. In December 1864, Abraham Lincoln appointed Speed Attorney General, in which position he served into the Andrew Johnson administration, resigning on July 16, 1866.","James J. Holmberg, ""James Speed"" in John E. Kleber, ed., The Encyclopedia of Louisville (Lexington: University Press of Kentucky, 2001), 842."
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00000267,Fairbank,Calvin,Calvin,,,,Calvin  Fairbank,Calvin Fairbank,Calvin Fairbank,32463144,M,W,1816-11-03,1898-10-12,NY,,"Abolitionist. Pike, New York, native. Began abolitionist activities while working on the Ohio River in 1837 in conjunction with Levi Coffman. Ordained by the Methodist Episcopal Church in 1842. Enrolled at Oberlin College in 1844. In conjunction with Delia Webster, Fairbank began planning to help enslaved people escape from the Lexington, Kentucky, area in 1844. Fairbank and Webster successfully transported the family of Lewis Hayden and Harriet Hayden from Lexington to Ripley, Ohio, in 1844, but were arrested when they returned to Kentucky. Fairbank was sentenced to fifteen years in the Kentucky State Penitentiary, but was pardoned after serving five years in 1849. In 1851, Fairbank helped another enslaved person escape from Kentucky into Indiana, but was arrested in Indiana by Kentucky officials. In 1852, Fairbank was again sentenced to fifteen years in the Kentucky State Penitentiary. In 1864, acting and Lieutenant Governor Richard T. Jacob pardoned Fairbank. Upon his release, Fairbank married his long-time fiancée Mandana Tileston.","Calvin Fairbank, Rev. Calvin Fairbank During Slavery Times: How he “Fought the Good Fight” to Prepare “The Way” (Chicago: R. R. McCabe & Co., 1890). Randolph Paul Runyon, Delia Webster and the Underground Railroad (Lexington: University of Kentucky Press, 1998). "
5/22/2018 10:52:00,KHS,RKHS,,112,3,352,2,,Smith,Harriet,Harriet,E.,,,Harriet E. Smith,Harriet Smith,Harriet E. Smith,,F,,,,,,"Harriet E. Smith was the wife of Dr. Hiram R. Smith of Bowling Green, who resided near the Griders. In the published first volume of the diary, two women were conflated as “Mrs. Smith” in the annotation: an unmarried woman approximately Josie’s age, Nannie Smith, who resided with the Hawkins family, and a married Mrs. Smith, who is mentioned in connection with Hiram.","Nancy Disher Baird, ed., Josie Underwood’s Civil War Diary (Lexington, Ky., 2009), 121, 195, 197. U.S. census, 1860, Population Schedules, Warren County, Kentucky."
5/22/2018 10:52:00,KHS,RKHS,,112,3,352-53,4,,Bristow,Benjamin,Benjamin,Helm,,,Benjamin Helm Bristow,Benjamin Bristow,Benjamin Helm Bristow,,M,,1832,1896,,,"Benjamin Helm Bristow (1832–96), a Hopkinsville attorney, helped raise the Twenty fifth Kentucky Volunteer Regiment (U.S.), fought at Fort Donelson (Tenn.) and Shiloh (Tenn.), and assisted in the capture of John Hunt Morgan in 1864. He enjoyed a prominent postwar career. He served as secretary of the treasury (1874–76) under President Ulysses S. Grant, and was considered as a possible Republican nominee for president in 1876. Captain Thomas E. Noell of Missouri accepted a commission in the Ninteenth U.S. Infantry in 1862. He resigned from the army in 1865 to take a seat in Congress from his home state as a Republican. He was reelected in 1867, but died unexpectedly in office.","On Bristow see Ross A. Webb, Benjamin Helm Bristow: Border State Politician (Lexington, Ky., 1969)."
5/22/2018 10:52:00,KHS,RKHS,,112,3,353,6,,Etheridge,Emma,Emma,,,,Emma  Etheridge,Emma Etheridge,Emma Etheridge,,F,,,,,,"Henry Emerson Etheridge was a Unionist congressman from western Tennessee who joined Warner Underwood in speaking out against secession. His term in Congress expired in 1861, when his state had already seceded from the Union, thus he was elected clerk of the House of Representatives. Emma was his daughter.","Baird, ed., Josie Underwood’s Civil War Diary, 124, 182–85, 187. See also note from August 29, 1863, entry."
5/22/2018 10:52:00,KHS,RKHS,,112,3,353,7,,Obear,Eliza,Eliza,Henry,Hassie,,Eliza Henry Obear,Eliza Obear,Eliza Henry Obear,,F,,,,,,Josie’s maternal aunt Eliza “Hassie” Henry married W. F. Obear of St. Louis in 1856.,"John Flournoy Henry, A History of the Henry Family: From its Beginnings in this Country to the Present Time (Louisville, 1900), 78–79."
5/22/2018 10:52:00,KHS,RKHS,,112,3,354,9,,Underwood,Warner,Warner,,,,Warner  Underwood,Warner Underwood,Warner Underwood,,M,,,,,,"While recovering from a bullet wound in his “sword arm,” received as he led troops during the Battle of Shiloh, sixteen-year-old Warner (Josie’s brother) accepted an appointment to the U.S. Military Academy in West Point, New York, an award for his conspicuous valor. Although he preferred to return to his unit (the Ninth Kentucky Infantry, commanded by his brother-in-law, Colonel Benjamin Grider), his father suggested that he could better serve his nation as an educated man.","See Report of Brigadier General Jeremiah T. Boyle, Eleventh Brigade, Army of the Ohio, Official Records of the Union and Confederate Armies, 128 vols. (Washington, D.C., 1880–1901), ser. 1, vol. 19, pt. 1, p. 358 (hereafter OR, series, volume, part, page); Baird, ed., Josie Underwood’s Civil War Diary, 177–78."
5/22/2018 10:52:00,KHS,RKHS,,112,3,354,10,,Counselman,Jacob,Jacob,Henry,,,Jacob Henry Counselman,Jacob Counselman,Jacob Henry Counselman,,M,,,,,,"Jacob Henry Counselman, United States Military Academy class of 1863, was from Maryland. He subsequently served as a second lieutenant of the First U.S. Artillery and lieutenant colonel of the First Maryland Volunteer Cavalry.","George W. Cullum, ed., Biographical Register of the Officers and Graduates of the U.S. Military Academy, rev. ed. (New York, 1891), 3:8."
5/22/2018 10:52:00,KHS,RKHS,,112,3,355,12,,Salm-Salm,Agnes,Agnes,,,,Agnes  Salm-Salm,Agnes Salm-Salm,Agnes Salm-Salm,,F,,1844,1912,,,"Agnes Salm-Salm (1844–1912) was an actress and circus rider, as well as the wife of Prussian aristocrat Felix zu Salm-Salm (1828–70), who became a Union general and later a leader of Emperor Maximilian’s guards in Mexico during the French occupation of the 1860s.","John H. Eicher and David J. Eicher, Civil War High Commands (Stanford, Cal., 2001), 468–69; David Coffey, Soldier Princess: The Life and Legend of Agnes Salm-Salm in North America, 1861–1867 (College Station, Tex., 2002)."
5/22/2018 10:52:00,KHS,RKHS,,112,3,356,16,,McGuiggan,Patrick,Patrick,,,,Patrick  McGuiggan,Patrick McGuiggan,Patrick McGuiggan,,M,,,,,,"Patrick McGuiggan was a ship captain for the Liverpool, Philadelphia and New York Steam Ship Company, commonly known as the “Inman Line.” The S.S. Edinburgh was an Inman vessel that travelled the transatlantic route between Liverpool; Queenstown (now Cobh), Ireland; and New York.","William Henry Flayhart III, “The Inman Steamship Company Limited: Innovation and Competition on the North Atlantic, 1850–1886,” Northern Mariner/Le marin du nord 12 (Oct. 2002): 29–46."
5/22/2018 10:52:00,KHS,RKHS,,112,3,356,17,,Marsh,Othniel,Othniel,Charles,,,Othniel Charles Marsh,Othniel Marsh,Othniel Charles Marsh,,M,,1831,1899,,,"Othniel Charles Marsh (1831–99), an 1860 graduate of Yale University, engaged in graduate studies in Berlin, Breslau, and Heidelberg. He then returned to the United States and served on the faculty of Yale, 1866–99, as the nation’s first professor of paleontology.","Mark Jaffe, The Gilded Dinosaur: The Fossil War Between E. D. Cope and O. C. Marsh and the Rise of American Science (New York, 2000)."
5/22/2018 10:52:00,KHS,RKHS,,112,3,357,19,,Dudley,Thomas,Thomas,Haines,,,Thomas Haines Dudley,Thomas Dudley,Thomas Haines Dudley,,M,,1819,1893,,,"Thomas Haines Dudley (1819–93), a New Jersey attorney and strong Lincoln supporter, served as U.S. consul to Liverpool, England, during the war.","Coy F. Cross, Lincoln’s Man in Liverpool: Consul Dudley and the Legal Battle to Stop Confederate Shipbuilding (Dekalb, Ill., 2007); David Hepburn Milton, Lincoln’s Spymaster: Thomas Haines Dudley and the Liverpool Network (Mechanicsburg, Penn., 2003)."
5/22/2018 10:52:00,KHS,RKHS,,112,3,357,20,,Dudley,Emmaline,Emmaline,,Matlack,,Emmaline  Dudley,Emmaline Dudley,Emmaline Dudley,,F,,1818,1884,,,"Emmaline Matlack Dudley (1818–84) of Camden, New Jersey, was the wife of Consul Thomas H. Dudley.","William John Potts, Biographical Sketch of the Late Hon. Thomas H. Dudley (n.p., 1893), 7."
5/22/2018 10:52:00,KHS,RKHS,,112,3,358,24,,Gabriel,Arnold,Arnold,,,,Arnold  Gabriel,Arnold Gabriel,Arnold Gabriel,,M,,,,England,,"Arnold Gabriel was a London-born dentist residing at 134 Duke St., Liverpool.","Census Returns of England and Wales, 1861, Lancashire, Liverpool, St. Thomas, district 12."
5/22/2018 10:52:00,KHS,RKHS,,112,3,359,28,,Cameron,Simon,Simon,,,,Simon  Cameron,Simon Cameron,Simon Cameron,,M,,1799,1889,,,"Simon Cameron (1799–1889), a Pennsylvania newspaperman, banker, and major figure in Pennsylvania politics, briefly served as Lincoln’s secretary of war, until Edwin M. Stanton replaced him in early 1862. Following the resignation of Cassius M. Clay as U.S. minister to Russia, Lincoln gave the post in St. Petersburg to Cameron.","Erwin S. Bradley, Simon Cameron: Lincoln’s Secretary of War (Philadelphia, 1966)."
5/22/2018 10:52:00,KHS,RKHS,,112,3,363-34,37,,Smith,James,James,,,,James  Smith,James Smith,James Smith,,M,,1798,1871,,,"Reverend Dr. James Smith (1798–1871) was the U.S. vice consul in Dundee, Scotland, and a friend of Abraham and Mary Lincoln when they lived in Springfield, Illinois. Smith’s son, Hugh, was appointed consul to Dundee, and in late 1861 he assumed his post, bringing his father to Dundee as vice consul. However, after Hugh resigned within six months because of ill health and returned alone to the United States, his father acted as U.S. consul for months without authorization.","Robert J. Havlik, “Abraham Lincoln and the Reverend Dr. James Smith: Lincoln’s Presbyterian Experience in Springfield,” Journal of the Illinois State Historical Society 99 (1999): 228–29."
5/22/2018 10:52:00,KHS,RKHS,,112,3,365,40,,Clark,John,John,,,,John  Clark,John Clark,John Clark,,M,,1827,1889,,,"John Clark (1827–89) was a member of the Clark family that discovered a technique to produce and manufacture a spooled cotton thread. Clark was an important member of the Scottish thread-manufacturing community and played a major role in the growth and expansion of J. and J. Clark and Co., which merged with its major Paisley competitor J. and P. Coats in 1894 to become Coats and Clark.","Records of the Clark & Co Ltd, thread manufacturers, Paisley, Renfrewshire, Scotland, University of Glasgow Archives, Glasgow, Scotland."
5/22/2018 10:52:00,KHS,RKHS,,112,3,371,58,,Stoddard,Frances,Frances,,,,Frances  Stoddard,Frances Stoddard,Frances Stoddard,,F,,,,MA,,"Frances Stoddard was the wife of Arthur Francis Stoddard (1810–82), a native of Northhampton, Massachusetts. They immigrated to Glasgow in 1844, believing his business prospects would be better there than in New England. He was employed as an agent for silk and carpet manufacturers. In 1862, he purchased a factory that produced carpets. Shipping much of his product to the United States, the company, soon called A. F. Stoddard & Company, was quite successful. By the 1860s, he and Frances lived in Port Glasgow on the Clyde River, when the Underwoods made their acquaintance. A. F. Stoddard was the author of Slavery or Freedom in America, or the Issue of the War (Glasgow, 1863).","The A. F. Stoddard & Company papers are currently housed in the special collections department, University of Glasgow. On A. F. Stoddard & Co. and other carpet manufacturers in Britain, see J. N. Bartlett, Carpeting the Millions: The Growth of Britain’s Carpet Industry (Edinburgh, 1978)."
5/22/2018 10:52:00,KHS,RKHS,,112,3,383,84,,,Catherine,Catherine,,,,,,Catherine,,F,,,,,,Catherine was the Underwood’s house servant in Scotland.,
5/22/2018 10:52:00,KHS,RKHS,,112,3,386,87,,,Albert,Albert,Edward,Prince of Wales; Edward VII,,,,The Prince of Wales Albert Edward,,M,,1841,1910,,,"The Prince of Wales, Albert Edward (1841–1910), was the son of Queen Victoria and Prince Albert. While his mother was queen, he was kept out of political decision-making. He was widely known in the British Empire as the leading example of the traveling, fashionable, leisured elite. Alexandra (1844–1925) was the daughter of King Christian IX of Denmark. After marriage, the couple was the Prince and Princess of Wales until they ascended to the British throne in January 1901 upon the death of Queen Victoria.","Jane Ridley, Bertie: A Life of Edward VII (London, 2012)."
5/22/2018 10:52:00,KHS,RKHS,,112,3,386,88,,Clouston,Peter,Peter,,Lord Provost of Glasgow,,Peter  Clouston,Peter Clouston,Peter Clouston,,M,,,,Scotland,,"The lord provost was the administrator of the community and served both ceremonial and political roles, although the office was considered nonpartisan. It was somewhat similar to a mayor in the United States. Peter Clouston served as Lord Provost of Glasgow between 1860 and 1863. Born in Greenock, he rose from an apprentice and clerk to become a partner in the Glasgow accounting firm of Bennett & Brown.","For more information on the lord provost’s role in Scottish local government see Irene Maver, “The Scottish Provost Since 1800: Tradition, Continuity, and Change in the Leadership of ‘Local Self-Government,’” in Heads of the Local State: Mayors, Provosts and Burgomasters since 1800, ed. John Garrard (Burlington, Vt., 2007), 29–46; Irene Maver, “Glasgow’s Civic Government,” in Glasgow, vol. 2: 1830–1912, ed. W. Hamish Fraser and Irene Maver (New York, 1996), 441–85. For a biographical sketch of Clouston see John Tweed, The Lord Provosts of Glasgow from 1833 to 1902: Biographical Sketches, with a Chronological Record of the Chief Events of the City’s History during that Period (Glasgow, 1902), 214–19."
